label,lx0,ly0,lx1,ly1,lx2,ly2,lx3,ly3,lx4,ly4,lx5,ly5,lx6,ly6,lx7,ly7,lx8,ly8,lx9,ly9,lx10,ly10,lx11,ly11,lx12,ly12,lx13,ly13,lx14,ly14,lx15,ly15,lx16,ly16,lx17,ly17,lx18,ly18,lx19,ly19,lx20,ly20,rx0,ry0,rx1,ry1,rx2,ry2,rx3,ry3,rx4,ry4,rx5,ry5,rx6,ry6,rx7,ry7,rx8,ry8,rx9,ry9,rx10,ry10,rx11,ry11,rx12,ry12,rx13,ry13,rx14,ry14,rx15,ry15,rx16,ry16,rx17,ry17,rx18,ry18,rx19,ry19,rx20,ry20
A,0.624338627,0.812000155,0.605470419,0.72018683,0.547683835,0.641014874,0.497911215,0.58945775,0.471607149,0.542157888,0.553265035,0.668532431,0.474183857,0.6774019,0.491501957,0.687855303,0.51622349,0.686117351,0.548081636,0.734999657,0.4671745,0.732666194,0.487302691,0.738774896,0.51511538,0.741799951,0.543128848,0.795203388,0.470691532,0.784194767,0.491514385,0.788322151,0.517830491,0.790416837,0.53773433,0.848665714,0.479180574,0.835328221,0.497868121,0.835805357,0.522567332,0.838837206,0.276673108,0.785069346,0.303759098,0.688538373,0.363574713,0.622472703,0.422043324,0.59099555,0.456609279,0.553720951,0.394341111,0.667919099,0.449866712,0.673065662,0.431287944,0.672303081,0.405387312,0.674292684,0.397941262,0.735349119,0.452933967,0.726604402,0.436957568,0.721865058,0.411737829,0.72740382,0.397213072,0.795023918,0.448561221,0.777880132,0.432555288,0.772584438,0.407855928,0.777664781,0.394776285,0.845227301,0.438014627,0.821171403,0.422363609,0.817412674,0.400718302,0.825417757
A,0.566974044,0.801857293,0.535306871,0.698234379,0.480996847,0.630728483,0.423478842,0.596800923,0.389688849,0.54947114,0.403525949,0.698407948,0.40097779,0.683297396,0.43155995,0.687441349,0.453373462,0.697376966,0.398476273,0.765800834,0.399596035,0.738758564,0.426651359,0.738147497,0.448071063,0.74767971,0.407475173,0.824154735,0.403368115,0.791429818,0.427329451,0.788721144,0.449642003,0.794865251,0.421440184,0.872820914,0.416464955,0.843177378,0.439162433,0.836285233,0.457432419,0.838527858,0.185489029,0.806886435,0.215487272,0.710841537,0.270983517,0.647047043,0.329903245,0.612597048,0.365517527,0.573735058,0.349673927,0.695430517,0.368856788,0.732477605,0.341191083,0.741285443,0.319432229,0.735503018,0.354118407,0.761075497,0.361232072,0.783811867,0.335494816,0.786591351,0.311692744,0.785309434,0.345371872,0.821765423,0.347587019,0.833162367,0.324423641,0.830324948,0.299050748,0.826005757,0.332685232,0.876008511,0.332085371,0.878710866,0.309026986,0.873674393,0.289280385,0.868804693
A,0.606186092,0.76526618,0.572236776,0.654717088,0.514621139,0.580775142,0.453775883,0.538086355,0.419528037,0.484824985,0.441654295,0.625220954,0.419827431,0.646714389,0.447550952,0.657222629,0.475757152,0.659396589,0.43061322,0.700966239,0.41395402,0.702887297,0.438459784,0.708749413,0.466293395,0.710090637,0.435657322,0.773502827,0.416187078,0.76165241,0.43921423,0.764603555,0.465904593,0.764993608,0.448915094,0.837125897,0.431516826,0.817194462,0.456058502,0.813877761,0.477589548,0.811604977,0.179624453,0.748752892,0.22256051,0.64624995,0.284533501,0.577641189,0.348367393,0.538249433,0.390950829,0.502090812,0.350859225,0.625632524,0.397289246,0.668917596,0.3725802,0.675634503,0.346449107,0.668493867,0.34847939,0.702422559,0.388685107,0.725776851,0.366111964,0.728221357,0.339315623,0.724949896,0.337003887,0.773997188,0.372721732,0.783514798,0.350452304,0.783524275,0.322015494,0.779582083,0.321512997,0.836988389,0.354580671,0.834559619,0.3313272,0.832017004,0.307167321,0.830087602
A,0.62988925,0.655853033,0.589914441,0.509161294,0.49598217,0.409494996,0.413481385,0.345860004,0.368197739,0.278553605,0.432751745,0.447459459,0.372672439,0.487526327,0.396418244,0.506089449,0.427503705,0.505465508,0.420241088,0.543904722,0.367953718,0.570546806,0.39573735,0.583350301,0.429311872,0.582124114,0.421413243,0.641061544,0.373753697,0.649288297,0.401221484,0.657093823,0.433680177,0.656825662,0.429545879,0.730450571,0.389024168,0.723626077,0.417385101,0.725171387,0.442660183,0.721896052,0.03065978,0.647855639,0.084283918,0.50817281,0.171257928,0.407768071,0.262881875,0.350636959,0.328505188,0.305385768,0.242687598,0.467028886,0.333515584,0.524489164,0.300586045,0.529937685,0.25915429,0.519862831,0.238111898,0.574372292,0.320255667,0.597738385,0.287197948,0.594810605,0.245998442,0.590865195,0.224783123,0.672997057,0.295248896,0.672856092,0.263588399,0.670607448,0.223736718,0.669724226,0.207851931,0.758941531,0.267601788,0.742461324,0.236575931,0.738133907,0.203715771,0.740945637
A,0.528742194,0.809779465,0.50515914,0.719451129,0.457130343,0.645914614,0.405695766,0.607102096,0.374250501,0.567144275,0.422245264,0.688378811,0.377912551,0.694467306,0.397605836,0.700449646,0.421165437,0.703418672,0.41419661,0.751653194,0.373131722,0.746770084,0.390817016,0.750732839,0.413055122,0.755883694,0.411158264,0.809851944,0.375199199,0.796435118,0.390784323,0.79825902,0.411055595,0.801235914,0.410899132,0.861752629,0.376110166,0.8465451,0.393063098,0.84668684,0.411682397,0.848409295,0.18479985,0.8068766,0.209041029,0.718200326,0.260267228,0.646986246,0.315309823,0.607848465,0.354815722,0.575444221,0.287048578,0.694984972,0.356031179,0.699805319,0.332596153,0.697183728,0.303498745,0.697957337,0.289997041,0.760937572,0.354213685,0.748874843,0.333963841,0.743102908,0.30587554,0.748867989,0.29116711,0.81730926,0.345951229,0.798235834,0.327465713,0.793365479,0.301514089,0.798333108,0.291367561,0.864723086,0.336848348,0.840429783,0.318294376,0.837149441,0.296602428,0.844364166
A,0.51559478,0.824516296,0.491405606,0.732115626,0.444706857,0.670262098,0.391929746,0.637690306,0.358061373,0.594996393,0.372355402,0.724088967,0.362269223,0.733844638,0.388568848,0.741023481,0.410249501,0.744054973,0.366851509,0.786572993,0.370064467,0.784630477,0.394733042,0.787495196,0.415652215,0.788094699,0.375291795,0.846345186,0.380695224,0.835204124,0.402441233,0.83605969,0.423678249,0.835081875,0.387166739,0.899598122,0.39358598,0.888363719,0.415104806,0.882737219,0.431601912,0.87882632,0.162864953,0.823911846,0.194729716,0.733900189,0.242947981,0.671663225,0.293337166,0.638317883,0.33087039,0.608957112,0.313370228,0.726766765,0.333084911,0.744160414,0.308597654,0.747504473,0.287657231,0.743716836,0.312710732,0.789524615,0.319930196,0.795744181,0.298320591,0.794297934,0.275807649,0.793477058,0.30150494,0.846139729,0.305565447,0.841945171,0.287109047,0.839116216,0.264143586,0.837170601,0.287116557,0.896163702,0.293546826,0.887667894,0.275048345,0.8813743,0.255862236,0.878886282
A,0.611805558,0.799772143,0.588838696,0.700549662,0.539909005,0.629553378,0.488538712,0.588181317,0.458602816,0.541474998,0.481104851,0.67157203,0.455557674,0.675753057,0.479037404,0.683270514,0.504241467,0.689288497,0.47318837,0.735546887,0.452887774,0.729087174,0.474030614,0.733181,0.498190492,0.736954451,0.475729942,0.798163891,0.458064228,0.782643437,0.477712899,0.786444247,0.500081778,0.789269269,0.483255029,0.854661167,0.467782736,0.838684559,0.489322126,0.838793516,0.508149683,0.839793146,0.252628297,0.767033398,0.283165008,0.675741434,0.337940276,0.609131873,0.393779308,0.574790835,0.433160961,0.544237912,0.409128755,0.659791291,0.445069343,0.698139071,0.425877661,0.704949796,0.403229296,0.69808203,0.409052879,0.723887444,0.441104352,0.748879731,0.421873838,0.750764608,0.397403687,0.744823992,0.399551392,0.783603787,0.431913584,0.798780799,0.41241172,0.797539592,0.386005998,0.790988326,0.384833485,0.837189794,0.413472414,0.839900613,0.39301464,0.836781144,0.36985904,0.832189023
A,0.618298531,0.813623428,0.580449462,0.699957192,0.518814862,0.62081027,0.4583821,0.573098779,0.422287226,0.521327734,0.450300217,0.688166857,0.409936726,0.701559067,0.441793472,0.701305926,0.475927293,0.702026665,0.448653698,0.764131069,0.401864767,0.768705964,0.430536151,0.763817251,0.465216726,0.761056006,0.4577218,0.835556507,0.419737518,0.831643522,0.445377797,0.82586962,0.474374831,0.822887003,0.472308576,0.899374366,0.442212671,0.888721466,0.46720013,0.87977612,0.490610719,0.875365078,0.196954489,0.803014219,0.233641505,0.694653571,0.286646307,0.611441135,0.345453471,0.565343678,0.391440392,0.53453064,0.351847827,0.683439553,0.405236185,0.691419601,0.37912482,0.689556777,0.350238681,0.690304399,0.351867884,0.759547889,0.400721073,0.754185081,0.379558653,0.748637021,0.352235466,0.750980675,0.344180971,0.826345146,0.383656859,0.816726983,0.363830566,0.811498404,0.336667746,0.812713981,0.332518071,0.88533926,0.364594758,0.867544472,0.344293088,0.862003028,0.322008759,0.865673065
A,0.470184863,0.437726021,0.461797506,0.384160936,0.433313608,0.344969392,0.403958738,0.324371934,0.386413783,0.3020567,0.391744792,0.377063334,0.398949504,0.367824674,0.415836275,0.371419042,0.424451977,0.37868467,0.387832016,0.409963578,0.396755695,0.397678316,0.411065251,0.399067283,0.419162035,0.406359583,0.391081512,0.439524174,0.396263838,0.426748067,0.408841223,0.426022738,0.417622596,0.431104809,0.396006227,0.466314882,0.398120701,0.454024464,0.410062522,0.450827897,0.417989373,0.453638732,0.278119266,0.417750388,0.294321716,0.363579035,0.322766811,0.328455418,0.353401601,0.311329752,0.373693883,0.294795215,0.360630095,0.36507979,0.361780375,0.359292746,0.346818388,0.360145867,0.336109787,0.362175316,0.362755626,0.397346556,0.359403253,0.388402104,0.347816557,0.38757059,0.337858915,0.391479582,0.35752219,0.425456285,0.355452985,0.415320456,0.345782429,0.41328758,0.334607184,0.415891677,0.350184977,0.449851155,0.349431217,0.439105392,0.339789152,0.436058581,0.330273122,0.438118517
A,0.462968588,0.428572893,0.454275906,0.375768244,0.425631195,0.337233841,0.395026714,0.316514462,0.376645416,0.293562621,0.382347226,0.369977176,0.388577074,0.360564142,0.40684244,0.363486588,0.416621834,0.37066403,0.378962755,0.402910054,0.387858003,0.391335607,0.402457565,0.392282665,0.41108951,0.398747385,0.382856548,0.432320774,0.388988227,0.420237511,0.401555061,0.419275373,0.410900027,0.423520297,0.388502389,0.459102988,0.39154169,0.447815359,0.403391719,0.443782508,0.411663175,0.445160359,0.271323949,0.412460268,0.285714388,0.357696354,0.313668042,0.321816117,0.343887359,0.304307491,0.365199387,0.292500496,0.352729887,0.356045961,0.355449796,0.350205123,0.340629578,0.351542979,0.328929007,0.355496973,0.355188012,0.388772607,0.35259676,0.378862709,0.341084242,0.377818555,0.331140429,0.383226663,0.3500458,0.417731881,0.348452538,0.406351298,0.338248879,0.404140562,0.327073395,0.407836497,0.342557818,0.443078935,0.341520399,0.431604862,0.331703961,0.428488016,0.322065979,0.431539863
